,Ind_ID,Gender,Car_owner,Property_owner,Children,Annual_income,Type_income,Education,Marital_status,Housing_type,Age,Employed_since,Type_occupation,Family_members,label
37,5041522,M,Y,Y,0,450000.0,Commercial associate,Higher education,Separated,House / apartment,44.0,2.0,Other,1,1
38,5042064,F,Y,N,2,270000.0,State servant,Higher education,Married,House / apartment,44.0,20.0,Other,4,1
39,5045888,F,N,Y,0,225000.0,Pensioner,Secondary,Not married,House / apartment,64.0,0.0,Other,1,1
40,5045894,F,N,Y,0,225000.0,Pensioner,Secondary,Not married,House / apartment,64.0,0.0,Other,1,1
41,5045895,F,N,Y,0,225000.0,Pensioner,Secondary,Not married,House / apartment,64.0,0.0,Other,1,1
42,5046324,F,N,Y,1,157500.0,Commercial associate,Secondary,Not married,House / apartment,42.0,6.0,Low-skill Laborers,3,1
43,5046328,F,N,Y,1,157500.0,Pensioner,Secondary,Not married,House / apartment,42.0,6.0,Low-skill Laborers,3,1
44,5047662,F,N,Y,1,67500.0,Commercial associate,Secondary,Married,House / apartment,52.0,11.0,Accountants,3,1
45,5048300,M,Y,N,1,180000.0,Commercial associate,Secondary,Married,House / apartment,30.0,3.0,Laborers,3,1
46,5048301,M,Y,N,1,180000.0,Commercial associate,Secondary,Married,House / apartment,30.0,3.0,Laborers,3,1
47,5050603,M,N,N,0,157500.0,Working,Secondary,Married,House / apartment,50.0,20.0,Laborers,2,1
48,5050606,M,N,N,0,157500.0,Working,Secondary,Married,House / apartment,50.0,20.0,Laborers,2,1
49,5050671,M,N,N,0,171000.0,Commercial associate,Incomplete higher,Not married,House / apartment,32.0,0.0,High skill tech staff,1,1
50,5051160,M,Y,N,1,135000.0,Working,Secondary,Married,House / apartment,26.0,2.0,Laborers,3,1
51,5051161,M,Y,N,1,135000.0,Working,Secondary,Married,House / apartment,26.0,2.0,Laborers,3,1
52,5052659,F,N,Y,0,103500.0,Working,Secondary,Married,House / apartment,28.0,2.0,IT staff,2,1
53,5052661,F,N,Y,0,103500.0,Working,Secondary,Married,House / apartment,28.0,2.0,IT staff,2,1
54,5052877,M,Y,Y,0,225000.0,Working,Secondary,Married,House / apartment,49.0,9.0,Drivers,2,1
55,5052879,M,Y,Y,0,225000.0,Working,Secondary,Married,House / apartment,49.0,9.0,Drivers,2,1
56,5052882,M,Y,Y,0,225000.0,Working,Secondary,Married,House / apartment,49.0,9.0,Drivers,2,1
57,5053254,F,Y,Y,0,180000.0,Commercial associate,Secondary,Married,House / apartment,51.0,6.0,Managers,2,1
58,5054063,M,N,N,1,157500.0,Working,Secondary,Married,House / apartment,45.0,4.0,Drivers,3,1
59,5054068,M,N,N,1,157500.0,Working,Secondary,Married,House / apartment,45.0,4.0,Drivers,1,1
60,5054524,F,N,N,2,180000.0,Working,Secondary,Married,House / apartment,46.0,23.0,Other,4,1
61,5054525,F,N,N,2,180000.0,Working,Secondary,Not married,House / apartment,46.0,23.0,Other,4,1
62,5058345,F,N,Y,0,99000.0,Pensioner,Higher education,Separated,House / apartment,67.0,0.0,Other,1,1
63,5058348,F,N,Y,0,191399.33,Pensioner,Higher education,Separated,House / apartment,67.0,0.0,Other,1,1
64,5058350,M,N,Y,0,99000.0,Pensioner,Higher education,Separated,House / apartment,67.0,0.0,Other,1,1
65,5058352,F,N,Y,0,99000.0,Pensioner,Higher education,Separated,House / apartment,67.0,0.0,Other,1,1
66,5058530,M,N,N,0,391500.0,Working,Secondary,Not married,Municipal apartment,25.0,1.0,Sales staff,1,1
67,5058531,M,N,N,0,391500.0,Working,Secondary,Not married,Municipal apartment,25.0,1.0,Sales staff,1,1
68,5058532,M,N,N,0,391500.0,Working,Secondary,Not married,Municipal apartment,44.0,1.0,Sales staff,1,1
69,5061360,M,N,Y,0,65250.0,Pensioner,Higher education,Married,House / apartment,57.0,0.0,Other,2,1
70,5061396,M,N,Y,0,72900.0,Pensioner,Lower secondary,Married,House / apartment,64.0,0.0,Other,2,1
71,5061636,F,N,Y,0,225000.0,Pensioner,Secondary,Married,Municipal apartment,59.0,0.0,Other,2,1
72,5061691,F,N,Y,1,67500.0,Commercial associate,Higher education,Married,House / apartment,25.0,4.0,Waiters/barmen staff,3,1
73,5062136,M,N,N,1,180000.0,Working,Secondary,Not married,House / apartment,35.0,0.0,Laborers,2,1
74,5062137,M,N,Y,1,191399.33,Working,Secondary,Not married,House / apartment,35.0,0.0,Laborers,2,1
75,5065348,F,Y,Y,0,202500.0,Working,Higher education,Married,House / apartment,42.0,11.0,High skill tech staff,2,1
76,5065462,F,N,N,0,157500.0,Commercial associate,Secondary,Married,House / apartment,52.0,4.0,Other,2,1
77,5065518,F,Y,N,1,202500.0,Working,Higher education,Married,Rented apartment,26.0,8.0,Laborers,3,1
78,5068389,F,Y,Y,1,270000.0,Working,Higher education,Separated,House / apartment,38.0,0.0,Sales staff,2,1
79,5068456,F,Y,N,0,135000.0,Commercial associate,Secondary,Married,House / apartment,37.0,7.0,Other,2,1
80,5069216,F,Y,Y,0,256500.0,Commercial associate,Higher education,Married,House / apartment,31.0,5.0,Accountants,2,1
81,5069218,F,Y,Y,0,256500.0,Commercial associate,Higher education,Not married,House / apartment,31.0,5.0,Accountants,2,1
82,5069307,M,N,Y,0,157500.0,Working,Secondary,Married,House / apartment,43.0,4.0,Core staff,2,1
83,5078820,F,N,N,2,225000.0,Commercial associate,Secondary,Married,House / apartment,40.0,14.0,High skill tech staff,4,1
84,5078945,F,N,Y,2,180000.0,Working,Incomplete higher,Separated,House / apartment,34.0,10.0,Other,3,1
85,5078946,F,N,Y,2,180000.0,Working,Incomplete higher,Separated,House / apartment,34.0,10.0,Other,3,1
86,5079166,M,Y,N,0,202500.0,Working,Secondary,Married,With parents,38.0,4.0,Laborers,2,1
87,5079167,M,Y,N,0,202500.0,Working,Secondary,Married,With parents,38.0,4.0,Laborers,2,1
88,5079168,M,Y,N,0,202500.0,Working,Secondary,Married,With parents,38.0,4.0,Laborers,2,1
89,5085886,M,Y,Y,0,315000.0,Commercial associate,Higher education,Married,House / apartment,51.0,3.0,Managers,2,1
90,5089162,F,Y,N,0,225000.0,Working,Higher education,Married,House / apartment,56.0,7.0,Accountants,2,1
91,5089959,M,N,Y,1,126000.0,Commercial associate,Secondary,Civil marriage,House / apartment,35.0,6.0,Other,3,1
92,5090166,F,N,Y,1,675000.0,Commercial associate,Secondary,Not married,House / apartment,42.0,2.0,Security staff,2,1
93,5090214,M,Y,Y,0,135000.0,Working,Secondary,Married,House / apartment,29.0,1.0,Laborers,2,1
94,5090216,M,Y,Y,0,135000.0,Working,Secondary,Married,House / apartment,29.0,1.0,Laborers,2,1
95,5092087,M,Y,Y,2,247500.0,Working,Secondary,Married,House / apartment,47.0,1.0,Laborers,4,1
96,5092245,F,N,N,0,103500.0,Pensioner,Secondary,Married,House / apartment,61.0,0.0,Other,2,1
97,5092479,M,N,N,1,85500.0,State servant,Secondary,Married,Municipal apartment,41.0,19.0,Core staff,3,1
98,5096527,F,N,N,0,135000.0,Working,Secondary,Widow,Co-op apartment,55.0,2.0,Core staff,1,1
99,5096528,F,N,N,0,135000.0,Working,Secondary,Widow,Co-op apartment,55.0,2.0,Core staff,1,1
100,5096743,F,N,Y,0,180000.0,Working,Lower secondary,Widow,House / apartment,46.0,6.0,Cleaning staff,1,1
101,5097065,F,N,Y,0,121500.0,Working,Secondary,Married,House / apartment,52.0,22.0,Managers,2,1
102,5100430,M,Y,N,0,180000.0,Working,Secondary,Not married,House / apartment,45.0,2.0,Laborers,1,1
103,5105045,M,N,Y,0,225000.0,Pensioner,Secondary,Widow,House / apartment,63.0,0.0,Other,1,1
104,5105056,M,Y,N,0,191399.33,Commercial associate,Higher education,Not married,Municipal apartment,32.0,2.0,High skill tech staff,1,1
105,5106077,F,N,Y,0,135000.0,Commercial associate,Secondary,Married,House / apartment,54.0,19.0,Medicine staff,2,1
106,5113621,M,N,N,0,225000.0,Working,Secondary,Widow,Municipal apartment,53.0,1.0,Security staff,1,1
107,5113933,F,N,N,0,67500.0,Pensioner,Secondary,Widow,House / apartment,64.0,0.0,Other,1,1
108,5113944,F,Y,N,0,135000.0,Pensioner,Secondary,Married,House / apartment,64.0,0.0,Other,2,1
109,5114249,M,N,N,1,130500.0,Working,Incomplete higher,Married,Rented apartment,31.0,5.0,Other,3,1
110,5114253,M,N,N,1,130500.0,Working,Incomplete higher,Married,Rented apartment,31.0,5.0,Other,3,1
111,5115604,F,N,Y,0,202500.0,Working,Secondary,Married,House / apartment,40.0,9.0,Core staff,2,1
112,5115606,F,N,Y,0,202500.0,Working,Secondary,Married,House / apartment,40.0,9.0,Core staff,2,1
113,5115608,F,N,Y,0,202500.0,Working,Secondary,Married,House / apartment,40.0,9.0,Core staff,2,1
114,5115610,F,N,Y,0,202500.0,Working,Secondary,Married,House / apartment,40.0,9.0,Core staff,2,1
115,5115611,F,N,Y,0,202500.0,Working,Secondary,Not married,House / apartment,40.0,9.0,Core staff,2,1
116,5116035,M,Y,Y,0,126000.0,Working,Higher education,Not married,House / apartment,40.0,2.0,Managers,1,1
117,5116036,M,Y,Y,0,126000.0,Working,Higher education,Not married,House / apartment,40.0,2.0,Managers,1,1
118,5116258,F,N,Y,4,180000.0,Commercial associate,Secondary,Married,House / apartment,48.0,20.0,Core staff,6,1
119,5116301,F,N,Y,0,180000.0,Pensioner,Secondary,Married,House / apartment,62.0,0.0,Other,2,1
120,5116302,F,N,Y,0,180000.0,Pensioner,Secondary,Married,House / apartment,62.0,0.0,Other,2,1
121,5116304,F,N,Y,0,180000.0,Pensioner,Secondary,Married,House / apartment,62.0,0.0,Other,2,1
122,5116305,F,N,Y,0,191399.33,Pensioner,Secondary,Married,House / apartment,62.0,0.0,Other,2,1
123,5116906,M,Y,Y,0,211500.0,Pensioner,Secondary,Married,House / apartment,41.0,21.0,Core staff,2,1
124,5117313,F,N,Y,1,157500.0,Commercial associate,Secondary,Married,House / apartment,36.0,11.0,Laborers,3,1
125,5117413,F,N,N,0,81000.0,Pensioner,Secondary,Separated,House / apartment,61.0,0.0,Other,1,1
126,5118046,F,N,N,0,81000.0,Pensioner,Secondary,Widow,House / apartment,65.0,0.0,Other,1,1
127,5118275,F,N,N,0,112500.0,Pensioner,Secondary,Married,Municipal apartment,59.0,0.0,Other,2,1
128,5118278,F,N,N,0,112500.0,Pensioner,Secondary,Married,Municipal apartment,59.0,0.0,Other,2,1
129,5118279,F,N,N,0,112500.0,Pensioner,Secondary,Married,Municipal apartment,59.0,0.0,Other,2,1
130,5118280,F,N,N,0,112500.0,Pensioner,Secondary,Not married,Municipal apartment,59.0,0.0,Other,2,1
131,5118283,M,N,N,0,112500.0,Pensioner,Secondary,Married,Municipal apartment,59.0,0.0,Other,2,1
132,5118541,F,N,Y,0,72000.0,Working,Secondary,Married,House / apartment,50.0,3.0,Laborers,2,1
133,5125289,F,N,N,1,202500.0,Working,Secondary,Separated,House / apartment,38.0,0.0,Laborers,2,1
134,5125299,F,N,Y,0,148500.0,Pensioner,Secondary,Married,House / apartment,57.0,0.0,Other,2,1
135,5125708,F,Y,Y,0,135000.0,Working,Lower secondary,Married,House / apartment,45.0,2.0,High skill tech staff,2,1
136,5125716,F,Y,Y,0,135000.0,Working,Lower secondary,Married,House / apartment,45.0,2.0,High skill tech staff,2,1
137,5125761,M,N,Y,0,270000.0,Commercial associate,Secondary,Not married,Municipal apartment,49.0,4.0,Cooking staff,1,1
138,5125763,M,Y,N,1,135000.0,Commercial associate,Secondary,Not married,House / apartment,36.0,4.0,Laborers,3,1
139,5125934,F,N,Y,2,135000.0,Commercial associate,Lower secondary,Civil marriage,With parents,27.0,5.0,Sales staff,4,1
140,5135344,M,N,Y,0,112500.0,Commercial associate,Higher education,Married,House / apartment,55.0,2.0,Security staff,2,1
141,5135345,M,N,Y,0,112500.0,Commercial associate,Higher education,Married,House / apartment,55.0,2.0,Security staff,2,1
142,5135346,M,N,Y,0,112500.0,Commercial associate,Higher education,Married,House / apartment,55.0,2.0,Security staff,2,1
143,5135485,F,N,Y,0,135000.0,State servant,Higher education,Not married,Municipal apartment,29.0,5.0,Core staff,1,1
144,5135487,F,N,Y,0,135000.0,State servant,Higher education,Not married,Municipal apartment,29.0,5.0,Core staff,1,1
145,5135636,M,Y,Y,0,195750.0,Working,Secondary,Married,House / apartment,52.0,3.0,Laborers,2,1
146,5135990,F,N,Y,1,585000.0,Commercial associate,Higher education,Not married,House / apartment,29.0,2.0,Managers,2,1
147,5135991,F,N,Y,1,585000.0,Commercial associate,Higher education,Not married,House / apartment,29.0,2.0,Managers,2,1
148,5142183,M,Y,Y,2,191399.33,Commercial associate,Higher education,Married,House / apartment,49.0,12.0,Managers,4,1
149,5142184,M,Y,Y,2,450000.0,Commercial associate,Higher education,Married,House / apartment,49.0,12.0,Managers,4,1
150,5142185,M,Y,Y,2,450000.0,Commercial associate,Higher education,Married,House / apartment,49.0,12.0,Managers,4,1
151,5142361,M,Y,Y,1,112500.0,Working,Secondary,Married,House / apartment,44.0,3.0,Drivers,3,1
152,5142362,M,Y,Y,1,112500.0,Working,Secondary,Married,House / apartment,44.0,3.0,Drivers,3,1
153,5142456,F,N,N,0,67500.0,Commercial associate,Higher education,Separated,House / apartment,52.0,1.0,Core staff,1,1
154,5142458,F,N,Y,0,67500.0,Commercial associate,Higher education,Separated,House / apartment,52.0,1.0,Core staff,1,1
155,5142459,F,N,Y,0,67500.0,Commercial associate,Higher education,Separated,House / apartment,52.0,1.0,Core staff,1,1
156,5143342,M,N,N,1,216000.0,Working,Secondary,Married,Municipal apartment,35.0,7.0,Laborers,3,1
157,5145690,F,N,Y,0,306000.0,Pensioner,Higher education,Married,House / apartment,59.0,0.0,Other,2,1
158,5145817,F,N,Y,0,90000.0,Pensioner,Secondary,Married,House / apartment,60.0,0.0,Other,2,1
159,5146005,M,Y,Y,0,225000.0,Working,Secondary,Not married,House / apartment,28.0,1.0,Managers,1,1
160,5146079,F,N,Y,1,108000.0,Working,Secondary,Married,House / apartment,35.0,3.0,Sales staff,3,1
161,5146167,F,N,Y,0,135000.0,Working,Secondary,Married,House / apartment,56.0,5.0,Security staff,2,1
162,5146444,F,N,Y,0,135000.0,Working,Secondary,Widow,House / apartment,39.0,3.0,Managers,1,1
163,5148932,M,Y,N,0,108000.0,Working,Secondary,Married,Office apartment,47.0,3.0,Security staff,2,1
164,5148934,M,Y,N,0,108000.0,Working,Secondary,Married,Office apartment,47.0,3.0,Security staff,2,1
165,5149188,M,Y,N,1,450000.0,Working,Higher education,Married,House / apartment,27.0,1.0,Core staff,3,1
166,5149190,M,Y,N,1,450000.0,Working,Higher education,Married,House / apartment,27.0,1.0,Core staff,3,1
167,5149828,M,Y,Y,0,315000.0,Working,Secondary,Married,House / apartment,48.0,7.0,Managers,2,1
168,5149834,F,N,Y,0,157500.0,Commercial associate,Higher education,Married,House / apartment,34.0,4.0,Medicine staff,2,1
169,5149838,F,N,Y,0,157500.0,Pensioner,Higher education,Married,House / apartment,34.0,4.0,Medicine staff,2,1
170,5118538,F,N,Y,1,81000.0,Working,Secondary,Married,Municipal apartment,43.0,17.0,Cleaning staff,3,0
171,5069057,M,Y,N,0,225000.0,Commercial associate,Secondary,Married,House / apartment,49.0,7.0,Laborers,2,0
172,5066689,F,N,Y,0,180000.0,Commercial associate,Higher education,Civil marriage,House / apartment,35.0,1.0,Sales staff,2,0
173,5086062,F,N,Y,0,135000.0,State servant,Secondary,Married,House / apartment,56.0,26.0,Core staff,2,0
174,5113717,F,N,N,1,135000.0,Working,Secondary,Married,House / apartment,45.0,8.0,Private service staff,3,0
175,5066765,F,N,Y,1,63000.0,Commercial associate,Secondary,Married,House / apartment,40.0,8.0,Sales staff,3,0
176,5105227,F,N,Y,0,135000.0,Working,Secondary,Married,House / apartment,48.0,6.0,Laborers,2,0
177,5054648,F,N,Y,0,112500.0,Pensioner,Secondary,Not married,House / apartment,66.0,0.0,Other,1,0
178,5067187,F,N,Y,0,112500.0,Working,Higher education,Married,House / apartment,31.0,2.0,Core staff,2,0
179,5105818,F,N,Y,0,45000.0,Pensioner,Secondary,Married,House / apartment,60.0,0.0,Other,2,0
180,5033574,F,Y,Y,1,191399.33,Working,Secondary,Married,House / apartment,39.0,0.0,Cooking staff,3,0
181,5125478,F,N,Y,0,202500.0,Pensioner,Secondary,Married,House / apartment,57.0,0.0,Other,2,0
182,5046340,M,N,Y,1,180000.0,Working,Lower secondary,Married,House / apartment,29.0,5.0,Other,3,0
183,5022326,M,Y,Y,0,256500.0,Commercial associate,Higher education,Married,House / apartment,59.0,5.0,Core staff,2,0
184,5065764,F,N,Y,0,90000.0,Working,Secondary,Not married,House / apartment,40.0,2.0,Other,1,0
185,5067849,F,N,Y,0,180000.0,Commercial associate,Secondary,Not married,House / apartment,40.0,2.0,Other,1,0
186,5097169,F,N,N,0,90000.0,Commercial associate,Secondary,Not married,House / apartment,29.0,2.0,Sales staff,1,0
187,5048583,F,N,Y,0,135000.0,Pensioner,Secondary,Married,House / apartment,59.0,0.0,Other,2,0
188,5115566,M,N,Y,0,126000.0,Pensioner,Secondary,Married,Rented apartment,45.0,0.0,Other,2,0
189,5052722,F,N,N,0,126000.0,Pensioner,Secondary,Married,House / apartment,60.0,0.0,Other,2,0
190,5067723,F,N,Y,1,337500.0,Working,Academic degree,Not married,House / apartment,34.0,8.0,Other,2,0
191,5056077,M,Y,Y,0,90000.0,Working,Secondary,Married,House / apartment,33.0,4.0,Core staff,2,0
192,5022275,M,Y,Y,0,131400.0,Pensioner,Secondary,Married,House / apartment,65.0,0.0,Other,2,0
193,5143016,M,N,N,0,180000.0,Commercial associate,Secondary,Civil marriage,Rented apartment,40.0,9.0,Laborers,2,0
194,5066709,F,N,Y,0,247500.0,Pensioner,Secondary,Widow,House / apartment,67.0,0.0,Other,1,0
195,5021445,F,N,Y,0,121500.0,Working,Secondary,Married,With parents,36.0,14.0,Core staff,2,0
196,5053592,F,N,Y,1,117000.0,Working,Lower secondary,Widow,House / apartment,48.0,8.0,Other,2,0
197,5116163,F,N,Y,2,90000.0,Working,Secondary,Married,House / apartment,27.0,1.0,Security staff,4,0
198,5041273,M,N,Y,0,445500.0,Commercial associate,Higher education,Separated,House / apartment,53.0,7.0,Other,1,0
199,5066627,M,Y,Y,0,157500.0,Working,Secondary,Married,House / apartment,44.0,2.0,Other,2,0
200,5125399,M,Y,N,0,112500.0,Working,Secondary,Married,House / apartment,28.0,2.0,Laborers,2,0
201,5067345,F,Y,N,0,180000.0,Commercial associate,Secondary,Married,House / apartment,45.0,3.0,Other,2,0
202,5053711,F,Y,N,2,157500.0,Commercial associate,Incomplete higher,Married,House / apartment,35.0,4.0,Other,4,0
203,5096234,F,N,N,0,117000.0,Working,Secondary,Married,House / apartment,47.0,20.0,Medicine staff,2,0
204,5125158,M,N,Y,1,234000.0,Working,Secondary,Married,House / apartment,33.0,5.0,Laborers,3,0
205,5143231,F,Y,Y,1,1575000.0,Commercial associate,Higher education,Not married,House / apartment,28.0,7.0,Managers,2,0
206,5062688,M,Y,Y,0,247500.0,State servant,Secondary,Married,Municipal apartment,55.0,2.0,High skill tech staff,2,0
207,5105685,F,N,Y,2,144000.0,Working,Secondary,Married,House / apartment,39.0,8.0,Private service staff,4,0
208,5115984,M,Y,Y,2,180000.0,Working,Higher education,Married,House / apartment,36.0,7.0,Managers,4,0
209,5085769,F,N,Y,0,191399.33,Commercial associate,Secondary,Married,House / apartment,53.0,4.0,Cleaning staff,2,0
210,5065363,F,N,Y,1,216000.0,Working,Higher education,Not married,House / apartment,29.0,5.0,Core staff,2,0
211,5140074,F,N,Y,0,90000.0,Commercial associate,Secondary,Married,House / apartment,41.0,1.0,Core staff,2,0
212,5067643,F,N,Y,0,171000.0,Pensioner,Higher education,Married,House / apartment,55.0,0.0,Other,2,0
213,5091963,M,Y,N,0,180000.0,Working,Secondary,Married,Municipal apartment,52.0,4.0,Drivers,2,0
214,5053637,F,N,N,0,225000.0,Pensioner,Higher education,Separated,House / apartment,60.0,0.0,Other,1,0
215,5067149,M,N,N,2,225000.0,Working,Incomplete higher,Married,House / apartment,38.0,1.0,Other,4,0
216,5096424,M,Y,N,0,270000.0,Commercial associate,Higher education,Separated,House / apartment,32.0,6.0,Other,1,0
217,5046283,F,N,Y,0,67050.0,Pensioner,Higher education,Married,House / apartment,67.0,0.0,Other,2,0
218,5029348,M,Y,Y,0,270000.0,Working,Higher education,Married,House / apartment,30.0,1.0,Drivers,2,0
219,5096061,F,N,N,2,73350.0,Working,Secondary,Married,House / apartment,39.0,19.0,Medicine staff,4,0
220,5028917,F,Y,Y,0,112500.0,Working,Secondary,Married,House / apartment,47.0,5.0,Sales staff,2,0
221,5117778,F,Y,N,0,144000.0,Working,Secondary,Widow,House / apartment,39.0,4.0,HR staff,1,0
222,5095310,F,Y,Y,0,225000.0,Working,Higher education,Married,House / apartment,34.0,10.0,Core staff,2,0
223,5050655,F,N,N,0,112500.0,Working,Secondary,Married,House / apartment,40.0,3.0,Accountants,2,0
224,5033817,F,Y,N,1,292500.0,State servant,Higher education,Married,House / apartment,44.0,7.0,Core staff,3,0
225,5052963,M,Y,Y,0,135000.0,Commercial associate,Secondary,Married,House / apartment,27.0,7.0,Laborers,2,0
226,5113159,M,Y,Y,0,157500.0,Commercial associate,Secondary,Not married,Municipal apartment,27.0,6.0,Laborers,1,0
227,5143235,F,Y,Y,1,1575000.0,Commercial associate,Higher education,Not married,House / apartment,28.0,7.0,Managers,2,0
228,5132800,F,N,Y,0,157500.0,Working,Secondary,Separated,House / apartment,51.0,4.0,Sales staff,1,0
229,5090549,F,N,Y,0,157500.0,Working,Secondary,Married,House / apartment,42.0,7.0,Other,2,0
230,5054522,F,Y,Y,1,135000.0,Working,Higher education,Married,House / apartment,27.0,6.0,Other,3,0
231,5051061,F,N,N,2,112500.0,Commercial associate,Secondary,Married,House / apartment,33.0,4.0,Other,4,0
232,5010707,M,Y,N,0,202500.0,Working,Secondary,Married,House / apartment,43.0,14.0,Drivers,2,0
233,5028984,F,N,Y,0,193500.0,Working,Secondary,Separated,House / apartment,52.0,6.0,Laborers,1,0
234,5126034,F,Y,Y,0,108000.0,Working,Secondary,Separated,House / apartment,47.0,3.0,Cleaning staff,1,0
235,5090470,M,N,Y,1,900000.0,Working,Secondary,Married,House / apartment,42.0,12.0,Laborers,3,0
236,5021775,F,N,Y,0,292500.0,Commercial associate,Higher education,Civil marriage,House / apartment,40.0,4.0,Laborers,2,0
237,5046415,M,Y,Y,0,270000.0,Working,Higher education,Married,House / apartment,40.0,4.0,Other,2,0
238,5065606,M,Y,N,0,270000.0,Pensioner,Higher education,Married,House / apartment,64.0,0.0,Other,2,0
239,5117314,M,N,Y,1,292500.0,Working,Secondary,Married,House / apartment,46.0,5.0,Laborers,3,0
240,5009195,F,N,N,0,292500.0,State servant,Secondary,Married,House / apartment,57.0,24.0,Accountants,2,0
241,5139548,F,Y,Y,2,157500.0,Commercial associate,Higher education,Married,House / apartment,37.0,17.0,Medicine staff,4,0
242,5096416,F,N,N,0,76500.0,Working,Secondary,Married,House / apartment,46.0,0.0,Other,2,0
243,5042286,F,N,Y,0,157500.0,Working,Secondary,Not married,House / apartment,30.0,3.0,Secretaries,1,0
244,5050729,M,Y,N,0,180000.0,Working,Secondary,Not married,With parents,23.0,1.0,Other,1,0
245,5038897,F,N,Y,0,135000.0,Pensioner,Secondary,Married,House / apartment,63.0,0.0,Other,2,0
